Contestant Name,OUTCOME,Day left Villa,Age,Profession,From,Area of UK,Gender,First Group to enter villa,Day Joined Villa,NUMBER OF DAYS IN VILLA,Number of Couples,Casa Amor addition,Times got Pied,Number of dates,Number of challenges won,Number of Bust Ups,Do Bits,Longest couple length,Was longest couple final couple,love-island-series
Dani Dyer,WINNER,59,21,Barmaid,London,South,female,YES,1,58,1,NO,0,2,1,2,NO,58,YES,2018
Wes Nelson,DUMPED,59,20,Electrical Engineer,Staffordshire,Midlands,male,YES,1,58,2,NO,1,4,3,1,YES,29,NO,2018
Laura Anderson,RUNNER UP,59,29,Cabin Crew,Scotland,Scotland,female,YES,1,58,3,NO,1,4,1,2,YES,29,NO,2018
Eyal Booker,DUMPED,25,22,Model,London,South,male,YES,1,24,2,NO,0,3,1,0,YES,15,YES,2018
Megan Barton Hanson,DUMPED,59,24,Glamour Model,Essex,South,female,NO,8,51,3,NO,0,4,0,1,YES,19,YES,2018
Josh Denzel,THIRD PLACE,59,26,Social Media Host,London,South,male,NO,8,51,2,NO,0,5,1,0,YES,29,YES,2018
Charlie Frederick,DUMPED,13,23,Model,Plymouth,South,male,NO,8,5,1,NO,0,1,0,0,NO,3,YES,2018
Rosie Williams,DUMPED,20,25,Solicitor,Wales,Wales,female,NO,4,16,1,NO,1,2,0,1,YES,14,YES,2018
Zara Mcdermott,DUMPED,25,21,Government Advisor,Essex,South,female,NO,15,10,1,NO,0,1,0,0,NO,5,YES,2018
Ellie Brown,DUMPED,43,20,Business Manager,Newcastle,North,female,NO,15,28,2,NO,1,2,1,2,NO,13,YES,2018
Sam Bird,DUMPED,47,25,Gym Owner,Norwich,South,male,NO,19,28,3,NO,1,2,0,0,NO,9,NO,2018
Georgia Steel,DUMPED,47,20,Student,York,North,female,NO,4,43,3,NO,1,5,0,3,NO,19,NO,2018
Josh Mair,DUMPED,50,21,DJ ,Birmingham,Midlands,male,NO,43,7,1,NO,0,0,0,0,NO,3,YES,2018
Paul Knops,RUNNER UP,59,31,Carpenter,Bournemouth,South,male,NO,43,16,1,NO,0,1,0,0,YES,12,YES,2018
Laura Crane,DUMPED,53,23,Surfer,Devon,South,female,NO,43,10,1,NO,0,1,2,0,NO,6,YES,2018
Stephanie Lamb,DUMPED,50,23,Account Manager,Hertfordshire,South,female,NO,43,7,1,NO,0,0,0,0,NO,3,YES,2018
Keiran Nicholls,DUMPED,40,26,Personal Trainer,London,South,male,NO,37,3,0,NO,1,2,1,0,NO,0,YES,2018
Idris Virgo,DUMPED,40,25,Boxer,Birmingham,Midlands,male,NO,37,3,0,NO,1,1,0,0,NO,0,YES,2018
Kazimir Crossley,THIRD PLACE,59,23,Make up artist,London,South,female,NO,26,33,1,YES,0,2,0,0,NO,29,YES,2018
Charlie Brake,DUMPED,43,23,Socialite,London,South,male,NO,26,17,1,YES,0,0,1,0,NO,13,YES,2018
Jack Fowler,DUMPED,53,22,Footballer,London,South,male,NO,26,27,2,YES,0,2,2,1,YES,17,NO,2018
Grace Wardle,DUMPED,37,25,Hairdresser,London,South,female,NO,26,11,1,YES,0,0,0,0,NO,7,YES,2018
Frankie Foster,DUMPED,37,22,Student,Cheltenham,Midlands,male,NO,26,11,1,YES,0,0,0,0,NO,10,YES,2018
Alex Miller,DUMPED,33,28,Structural Glazier,Essex,South,male,NO,26,7,1,YES,0,0,0,0,NO,3,YES,2018
Darylle Sargeant,DUMPED,33,24,beautician,London,South,female,NO,26,7,1,YES,0,1,0,0,NO,3,YES,2018
Ellie Jones,DUMPED,33,22,Customer Service,Kent,South,female,NO,26,7,1,YES,0,0,0,0,NO,3,YES,2018
Savanna Darnell,DUMPED,30,22,Singer/Dancer,Sheffield,North,female,NO,26,4,0,YES,0,0,0,0,NO,0,YES,2018
Charlie Williams,DUMPED,30,24,Tanning Shop,Bath,South,female,NO,26,4,0,YES,0,0,0,0,NO,0,YES,2018
Dean Overson,DUMPED,30,25,Car Sales,Burnley,North,male,NO,26,4,0,YES,0,0,0,0,NO,0,YES,2018
Jordan Adefeyisan,DUMPED,30,23,Model,Manchester,North,male,NO,26,4,0,YES,0,0,0,0,NO,0,YES,2018
Alexandra Cane,DUMPED,57,27,Model,Essex,South,female,NO,39,18,1,NO,0,3,0,0,YES,17,YES,2018
